	Supposed_GOI	FGES_source	Genes	Link
GSE6259_DEC205_POS_DC_VS_CD4_TCELL_DN	CD4+ T cells	MSigDb_Dif_Expression	VAMP2, COX16, IRF2, FADS6, HPCAL4, DGCR6, SLIT2, PHLDA3, PYM1, CCAR1, CHERP, LPXN, HSD17B14, RNF220, RBM34, CYLC1, MTUS1, MSN, PMF1, SH3BP5, PRR9, RNF103, GPATCH4, GCSAM, SYNRG, VPS33A, TNRC6B, SH2D2A, QSOX1, ELF3, BTC, ERAL1, AP1B1, COQ6, MAP3K14, KCNK6, ALDH1L2, EXOSC4, PATJ, FHOD3, EIF3B, REEP1, KCTD14, NAV3, ENOPH1, ZBTB8A, NUP155, PRKCSH, RASL11B, GJB1, GLE1, ATP11C, CDK13, MAP2K2, PLCG1, ACVR1B, RRAS2, SCARB1, ZDHHC12, G3BP1, ANKRD10, RAP2B, PNMA8B, USP39, VPS4A, MED13L, BHLHE40, GATD1, SHMT2, RCC1L, IP6K1, EXOC2, APEX2, NUP54, SLC23A3, CIC, ZC3H8, POLR1C, ENTPD6, ARMCX2, TUFM, GNL3, CD6, TOMM20, REV3L, ABHD12, AP5B1, CD247, ANKH, CHURC1, SELENOP, PPM1G, LIPT2, PIGY, MED24, NXPE3, RAB36, FOXN3, PSMG2, FPR3, NFYA, HIVEP3, ALKBH4, NOMO1, NIN, GAA, WDR73, LSM2, ARL13A, GABRG2, UGGT1, LYAR, LRWD1, CREBBP, PIP5K1C, SEC14L5, FAM204A, RALGPS2, FUCA1, RFFL, PPIG, STPG1, RASSF2, CKAP4, WDR82, FAM227B, MCAT, LRRC14, ARHGEF1, TACC1, ASCL1, TFAP4, PPP4R3B, ZNF346, GSTM4, SNHG7, GPR174, RNF44, EXOSC1, SACS, IFIT1B, FSCN3, REXO4, UBE2N, ARL4A, PCDHB7, RBM38, PKD1, FBXO10, LHX6, RPL36, MYCBP, CCDC86, OR7C1, SNHG32, ASB4, EXT1, CNOT11, S100A8, DNAJB4, WDR33, PLD1, SET, RAPGEF1, KXD1, DDRGK1, BDH1, RAB11B, MRPL37, PBX1, TTC13, B3GNT8, HADHA, SPAG16, FBXO41, DHX30, NUDCD2, EIF3G, RAB35, LONP2, DXO, PNPLA1, ZFP64, MCM2, ANAPC15, LMNB2, DTWD1, SAG, NMNAT3, BAX, ZC3H12D, NKRF, RAD1, ITFG2, MAPK6, FYN, SMARCC2, GPM6A, NRM, BEND5	MSigDb_Dif_Expression
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	CD4+ T cells	MSigDb_Dif_Expression	P2RX4, IL10RB, IFIT1, STRADA, HLA-C, FRS2, TREX1, MSC, ATF3, IFITM1, CCL2, ISG15, IFI44, HBD, FANCF, PML, FST, NMI, SYNRG, CARHSP1, SPTLC2, STAT1, PSMB9, CENPN, PDCD1LG2, APOL6, STT3A, GADD45B, PODNL1, TRIM14, KDM4A, IFI30, MRPL17, MYD88, COASY, TMBIM1, GCH1, TRPV2, GMPR, EZR, TLR3, HERC6, CTNNBL1, TMEM62, LARS2, NAGK, EFEMP2, OAS3, AFF4, RSAD2, SHFL, RNF19A, CRADD, ISG20, STAT2, UBE2L6, SCO2, CADM1, S100A13, LY6E, XAF1, OASL, H2BC4, TAP2, USP18, MT1M, TMEM140, IFITM3, OAS1, SNRPD2, RIPK2, NBN, FMOD, GSDMD, COBLL1, TRAPPC14, GTPBP2, IFI44L, MTMR11, KRT7, PTN, IFIT3, PHACTR4, ACAT2, SIGIRR, PSMB8, GNAZ, ABCF3, RPL13, PLSCR1, IFI6, HLA-E, STARD5, ANXA2P2, EXOSC9, IFI27, PARP8, H3-3B, COX4I1, RIGI, IFIT2, TRIM21, CPT1A, WARS1, DDIT4, SP110, SLC25A28, TAP1, RTP4, NDRG1, TRAFD1, RNF19B, SECTM1, BAG1, BCL2L13, CYB5R3, BCAT1, CASP1, ATP10A, HLA-J, CALR, HERC5, STK19, EIF2AK2, HAX1, OGFR, PRKD2, IL15RA, FGF1, SPAG4, MID2, SLC15A3, ERAP1, OAS2, TRIM26, GBP1, IRF9, EHD4, KIF5C, MX2, APOL2, IRF1, SPSB1, PTPRA, DGLUCY, PARP12, SRGAP2, TXNIP, OPTN, APBA2, PSMB10, IRF7, RAB20, PTPRS, CBR1, ID3, IL6, MOK, DHX9-AS1, JADE2, BRCC3, IFI35, TDRD7, BST2, RBCK1, C1S, FGF5, SLC25A40, VAMP5, CHRNB1, STOML1, CREM, RNF114, HES1, CEP85, TRIM25, PSME2, HK2, CCL7, TRIM5, CMTR1, CXCL10, TMBIM4, ZMAT5, COX17, TRIM38, LGALS8, TRIB2, GCNT1, DPP4, HLA-F, IFITM2, THEMIS2, DENND3, DCP1A, NAPA, SOCS1, MX1, ELF1, CFLAR	MSigDb_Dif_Expression
GSE40274_CTRL_VS_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	CD4+ T cells	MSigDb_Dif_Expression	PCBP4, SF3B5, MLF2, PRMT5, NCAPD2, PSMA3, SPC24, MRFAP1, PSMD14, BCKDK, GPATCH4, UQCRC1, RENBP, CCNB3, THOC5, KPNB1, EFTUD2, TRMT61A, SPATA7, NUDT18, PLK3, HMGN3, IGF2BP3, DGKH, TIGD3, CBY1, KARS1, DKC1, TNFAIP1, NPHP1, TMEM70, NUBP1, DSC1, FGF12, GMPR, CTPS1, TMEM42, TMEM11, PFKL, TAF9, TARBP1, TTK, MTHFD1, CHKA, SPC25, CEP57, PPP5C, CENPH, SRSF1, IDE, RNF128, TIMM13, PGAM1, ZC3HC1, TENT5C, SDHD, FIGNL1, JAGN1, PLK1, EIF3A, OLA1, AURKA, CSDC2, YARS1, RTN4RL2, NUP133, DBT, SCFD2, AHSA1, CLEC4E, TOMM20, GUSB, LIPT2, PDSS1, NDUFA10, GTF2H4, MRPS7, MAST2, SEC13, IQCG, ZMYND19, KSR2, RMDN3, SERP2, TICAM2, MASTL, PSME3, LYAR, ORC6, LRRC58, MZT2B, PSMA5, PSME1, HNRNPA3, BATF, LARGE2, PUS7, B4GALT5, IPO11, KBTBD13, YBX3, TXLNB, MRPL52, TMEM161A, ELOVL1, FOXD4, TMEM147, GUK1, TARBP2, EIF3H, MPC1, HDAC3, LSM4, PSAT1, WDHD1, TRNAU1AP, PMM1, PRDX1, ST13, RPS2, FTSJ3, UTP20, GART, SNORA2C, EXOSC7, KIF18B, DYNC2I2, TWSG1, POP1, SULT4A1, ADSS2, TRIB1, OXCT1, EIF3I, VCP, PSMC2, SNRPA1, IFNG, HMGN2P6, CSTF2, SDF2L1, KRTCAP3, MCM8, UMPS, GRHL1, FANCD2, NOL9, NMT1, EIF2B1, CNPY2, MRPS18B, SCX, RBM15B, CPNE9, SETD6, TBL3, IL12B, EIF6, LCMT1, GFI1, MEP1A, HCFC1, PDIA6, PUS1, VAV3	MSigDb_Dif_Expression
GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	CD4+ T cells	MSigDb_Dif_Expression	NIM1K, TIA1, CDK2AP1, GPN1, KIFC3, BACH2, PWP2, PSMD6, ODF2L, NMNAT1, MAGED1, ETS2, ADH1C, ABCD3, RAI1, GPATCH4, NUTF2, DLEU7, TET1, THEMIS, HOMER3, INTS3, KDM2B, PELP1, TAF2, CEP78, BASP1, ADSL, PUS7L, SRM, MECR, MTX1, DKC1, TNFRSF19, PIP4K2A, TCF7, ALDH7A1, DUSP5, CTSW, FOSL2, SLC9A1, GSN, ARHGAP20, NYAP1, CTPS1, WBP4, FMNL3, RASL11B, PTGIR, PKDCC, HACD1, LXN, NETO2, SEMA4C, ZBED5, JAK2, LRFN4, SLC7A6, RANBP1, NR4A1, SLC7A1, HNRNPD, OPA3, TMCC3, ANP32B, ZNHIT6, RGS12, INTS2, DDX19A, UBE2E2, STRIP2, SMYD2, ATXN2, CNOT7, ARMCX2, RPL31, CBX3, LRRC42, JMJD4, UBE2E3, ADCY6, PPA1, INPPL1, PROSER1, BBS5, ZFP30, TSC22D1, WDR4, BYSL, XRCC6, ADAMTSL2, POGZ, PPIA, LYAR, CLPB, SLC22A17, TMA16, DDB1, COLQ, SLC35A1, GPSM1, GSTCD, KIT, TUBB, CLUH, DDX39A, B4GALNT1, ARHGAP39, BCAT1, TYW3, IPO11, PDCD5, TFDP1, CDIP1, SPATA6, EHMT1, WBP1L, SNHG6, TMEM120B, SEH1L, NFKBID, ZNF629, TTC3, TRIM28, WDR12, ZMYM4, PYROXD2, ABCG2, IL21, PFKM, CCT6A, ODC1, OLFML3, ZCCHC12, CACNB3, PHB2, GNB1L, CCR7, DIPK1B, GSPT1, NIBAN3, GANAB, NRGN, SLC16A6, CHD1, HEATR1, ZAP70, SLC35D3, SLC16A10, EIF2S3, MRPL22, SNHG32, ARMCX1, METAP2, MED14, GAR1, TTLL12, MTREX, NR4A3, SET, AGO1, PDE7B, XYLT2, ACTN1, EMILIN1, LMO4, ARHGEF9, RRP12, CCDC88A, CTIF, ZMYM3, RRS1, NDUFAF4, LANCL1, PEX5, FIBCD1, CCR9, URB2, TGIF2, MACROD1, TRMT1, SANBR, AKAP1, ABL1, UBQLN4, KHSRP, TNFSF4, LSM14B, CAPRIN1, DENND3, EHD3, ZNF22, KDM6B, METTL1, TTC7B, MED23, FUBP3, GPAA1	MSigDb_Dif_Expression
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_UP	CD4+ T cells	MSigDb_Dif_Expression	SAMHD1, GJB3, CBX4, DUSP1, SLC25A37, THBD, PTP4A3, VILL, RPL32, GLS2, C11orf21, TSPAN32, IFI44, CHD7, TMEM131L, VIPR1, ZNF692, UXS1, SMAGP, RAPGEFL1, ELANE, RETREG1, MAPT, PRMT2, ZXDC, BAG3, TRMT61A, XKR8, SARDH, RPL17, CSGALNACT1, SLC48A1, MYOZ3, KAT8, INKA2, CXCR4, TNS2, A4GALT, FAM110D, DBP, LEPROTL1, CPVL, NCK2, ISG20, ISLR, ZNF91, SNN, XPO6, RREB1, RERE, COPG2IT1, PTGER1, TNFRSF25, TCEAL4, EDN1, MYLIP, TRIM44, VPS9D1, NUMA1, SARAF, CLASRP, CUTA, ZFPL1, TRIM3, P3H4, ENTPD6, FOXL1, PPFIBP2, DHRS3, FAM83E, MPO, UFM1, PDE8A, MYO15B, RPL21, IDUA, PHKA2, LYRM9, HOOK1, MSL3, KCTD12, ANKRD6, C1QA, PLEC, CLUHP3, CHRNB2, PABPC1, DDAH1, ZNF394, PRKG2, RPL36A, FAM163A, AHDC1, SLC25A36, CLCN2, SCARB2, WSCD2, KLF9, RSAD1, ACBD4, ADD3, PARP6, RPS9, RYK, SLC2A4RG, PLAC8, FCGRT, PGAP3, ECE1, ELF2, EEF2, RPLP2, DHRS12, PXN, ZBTB25, ZBTB18, SMPD1, IPCEF1, OSER1, DVL2, NOSIP, PEX16, USP19, ARFGAP2, TTC3, PRKCZ, RBM38, RPS6, FAAH, ZCCHC14, RPL3, DVL1, PLXDC1, CRY2, PCIF1, LILRB3, LITAF, TMEM30B, MYH3, FAU, CMPK1, CTNNA2, ZNF609, TBXA2R, LTBP3, TRPS1, KAT2A, NDST1, LY75, SPINK2, RXRA, PRB3, SNHG17, SYT17, EIF3D, LARS1, HKDC1, SUN1, RASGRP2, LZTFL1, ITPKB, CIRBP, ACTN1, HIC2, ZNF318, MFNG, ETV3, EAPP, UBP1, GJA5, RPL10A, C1orf115, RNF114, C2, LSR, MYC, TRAM2, CD248, NEURL1, RPL30, B4GALT7, DLG1, RPL8, CDC42BPB, BCL2, TRIB2, BEX4, RPL29, STAT5B, SF3A1, BBOF1, RPS10P5, ANKRD28, TSC22D3, COQ8A, ALDH2, RIPOR2, GRINA, LIPT1, RPS28	MSigDb_Dif_Expression
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_48H_DN	CD4+ T cells	MSigDb_Dif_Expression	BPI, TRA2A, RAD23A, CTSH, CEACAM1, HBEGF, SLC20A2, POLR1HASP, ATXN1, SNX3, LTB, ETS2, LRIG1, NASP, RCHY1, TGDS, TNF, FRMD4B, CASP9, EIF4E2, PER2, QSOX1, SEL1L, ENO1, POLA2, ELL2, LRP8, RAB14, RNMT, SUPV3L1, MED20, CYP11B1, CD24, PLEKHB2, EIF3B, HLA-DMB, TCOF1, CITED2, PPIB, HLA-DRA, DUSP5, NUBP1, CYB561D2, AP3S2, LCP2, KRT12, ABR, SLC43A1, PLCG2, EIF4A1, RYR1, SLC11A2, PITRM1, LSM7, RAMP3, CEACAM8, PSMA6, BHLHE40, ANP32B, ATP1B3, DLX5, SYK, TMED9, TNKS, N4BP1, FAM13A, HNRNPAB, IL2RB, HSPE1, STK10, OLR1, EDN2, PRKX, GNAZ, PPP1R3C, DCAF11, OPCML, HINT1, CDK18, LRPAP1, ARNT2, TPD52, LYRM1, CD63, CD300A, IDI1, ITGAX, PAK2, ALOX5AP, PIM1, BYSL, PAK5, ABCC8, PAMR1, CD69, HCAR3, TMED2, LEPR, NDRG1, NKG7, CD53, TUBB, FUCA1, LAIR2, SPINT2, PDE4B, MCAT, FLOT1, PSMG1, RPL4, MADCAM1, CD3G, EZH2, CRYBG1, CEP170, HSPH1, STAT4, CDO1, CD44, CSF2RB, ZNF124, XBP1, IL1RN, NPC1, VHL, SNU13, DDX42, SPINK1, TMF1, IFNA5, SRGAP2, ATP6V1C1, NPAS2, FAM13C, HS3ST1, PRNP, RCBTB2, TNFAIP8, FARSA, TPT1, TSFM, EIF3D, ALOX5, ABCF1, KDR, MAPKAPK3, CDH3, ZNF101, NAB1, SPHK2, TUBB2B, HIF1A, BCL9, CXCR5, STX7, ASMTL, SCARF1, RHOH, TIMM44, NDUFV2, EDEM1, ARL6IP5, CCNE2, GORASP1, UBFD1, LTA4H, MAGEA11, EBNA1BP2, COX7A2L, ZNF592, LHFPL2, CDK5R2, SEC14L1, RPL8, FCGR2B, MYRF, ARAP2, CDKN1A, XPA, PREP, PXDC1, FCHSD2, PUM3, NFIB, TICAM1, AVPR2, CCND2, GPR65, CCT4, SOCS1, IGFBP4, CYRIA, DCX, BGN, IVNS1ABP, ZBTB24, SFT2D2, GPAA1	MSigDb_Dif_Expression
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_DN	CD4+ T cells	MSigDb_Dif_Expression	SCML1, DUSP1, NPEPPSP1, SUGP2, PDCD2, ST8SIA1, PDZD8, TSPAN14, LRRC37A2, MARCHF6, MAGEH1, PNISR, SPRED2, RFX5, AOAH, NR4A2, ZNF816, KIF3B, RGS16, CAMK4, HLA-DMA, POMZP3, IL21R, OGG1, MEGF9, CBY1, ZNF767P, PATJ, IFI30, HBP1, ZNF41, N4BP2L1, PRKCB, TRIP10, CWC25, DAPK2, EML2, SYT11, APMAP, NAT9, ZNF248, MMP20, HCK, PTGIR, NSA2, AFF4, CAPRIN2, FRG1JP, NDUFAF7, N4BP2L2, ZBED5, PLEKHA1, CNOT4, MTERF4, ING4, ENTR1, SLC11A2, DYNLT3, PIK3IP1, SART3, PARP3, CD200, MYLIP, SARAF, GPR39, NSUN5P2, SH2B3, RPS14, CX3CR1, FAM13A, SIK2, ATXN2, BCAS3, PRKAB1, CD302, MAML1, PNLIP, FHIT, TRIM33, IL5, DHRS3, GPR137B, ZSCAN32, CTSO, FOXN3, TRIM22, AANAT, GSDME, RBM5, SEMA3E, ABCA5, PARP4, STX11, TMEM243, GARRE1, BNIP3L, ITIH4, HEBP2, TNFRSF9, ZNF16, NFU1, PNPLA4, ZNF266, PTCH1, SYNJ1, SPOP, VPS35, GOLGA8A, AFTPH, CSF2RA, BTN3A1, RSAD1, CPT2, MANBA, CSF1, NLK, BCL6, GNRH1, CLK4, TGIF1, STX16, PIGL, SPG11, AMIGO2, RMC1, SP140L, PLEK, CSF2RB, TCEA2, ZFYVE21, ACP5, OXLD1, EIF3H, CAB39L, NELL2, LIN7B, ATP8A1, FYB1, TIAM1, METTL22, HLA-DPA1, CCR7, B3GALT2, HCP5, PCGF3, NTRK1, PRICKLE3, HLF, PNPLA2, TREM2, CRLF2, EXT1, TTN, CD82, TFG, SIRT4, AGO1, BPHL, NR3C1, PCMTD2, POGLUT1, H2AC18, BSCL2, IL9, ACTR1B, MTCP1, H2BC7, RBM47, CXCL13, ZNF37BP, CSAD, ZNF281, PRR5L, AASS, ZNF345, PDE6B, PDE3B, BBS1, VWA8, TRIM38, ANKRD27, CYP39A1, ARGLU1, CCNG1, CD70, EPB41L3, ECHDC2, TRAPPC13, DRAM1, DCP1A, MXI1, BTD, MAP1LC3B, RBPJ, PRPF40A, ADARB1, LIPT1, GLCE	MSigDb_Dif_Expression
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	CD4+ T cells	MSigDb_Dif_Expression	TULP1, CCT8L2, CCR2, ZNF324, EFNA4, P2RX4, GSS, BACH2, AGBL5, GPR183, ZFP37, CTSF, SLC4A10, C11orf21, ANXA1, RPS5, SEC61A1, C2orf68, GPX5, RFX1, RNF130, BAG3, ERGIC3, RPS17P5, PLK3, POMZP3, MAML3, RPL6, MLLT1, FBXW4P1, EIF3E, CSGALNACT1, COL10A1, NCF1C, FBL, EEF1B2, CTSW, PPM1F, PTGES3, CUX1, SLC27A5, NT5E, VPS51, VSIG10, SYNJ2, PAGR1, FAM102A, SLC43A1, SEMA4C, PFDN5, RIC8B, TPPP3, RGL2, IL11RA, RERE, MEGF6, IGF2R, ZCCHC24, IRS2, SLC41A3, ZNF671, ABCB1, RPH3AL, AKR1B1, DOT1L, IGFLR1, VEGFB, DHPS, SCTR, TTC9, P4HTM, LINC00623, LIAS, CLEC3B, CD247, FBP1, RPS3, CERK, EIF3F, PRM2, SPTSSA, CDC14A, FOXN3, RBMX, TAF7L, ZNF212, ANXA9, EVI2A, SYTL2, APOBR, GPX4, AKR1A1, EIF3L, RSL1D1, ZNF395, POU3F3, TCF20, BLTP2, BTG1, NRAP, TOR1AIP1, KIT, UXT, NRTN, DPEP2, NDRG2, GK2, CRLF1, GATA3, FAH, DNAH17, SERGEF, PACSIN2, MYO6, ARF4, WFS1, MED9, PLA2G15, ZBTB18, SESN1, DCAF10, NOSIP, ARFGAP2, POLR1E, AP1S2, SGSM3, RGCC, EIF3H, FRAT1, SSBP2, TGM2, BMPR1B, EVI2B, LIN7B, MYG1, ANGEL1, PRDM16, ARRB1, PLXDC1, PIGQ, SORCS3, ST13, ITM2C, SSR2, FKRP, SLC16A10, CEACAM21, EIF3K, TSFM, ABLIM1, EIF3D, RNASEL, RPL18, ID3, RNF24, IRS4, ATXN7L3B, RAB40C, MSL2, FGF9, INCENP, ZDHHC11, CAMK2G, ITPKB, ZMAT3, AK5, RRP12, BSCL2, PDZD2, PIK3R1, HADHA, NAALADL1, RPL10A, KCNIP2, NMUR1, ALOXE3, PAWR, ABCA3, TACSTD2, SYPL1, CD37, MACROD1, HSPA1A, MAP2K6, CCNG1, EHD3, CBLC, KLRB1, ITFG2, NRDE2, DBNDD1, RPL11, NET1, CAD, ADARB1, SLC35C2, HOPX	MSigDb_Dif_Expression
GSE14308_TH2_VS_NAIVE_CD4_TCELL_DN	CD4+ T cells	MSigDb_Dif_Expression	MRTFA, MAP3K3, ANGEL2, CCM2, STAT5A, TRIAP1, VPS16, PIR, KLHL41, MPPED1, BCKDHB, SFSWAP, USP6NL, MSRA, SLC12A1, ZZZ3, TNF, ARSK, STAG2, ELMOD2, C2orf68, NPPA, ZNF598, SLC24A4, ZMYM5, NELFA, VGF, SLC5A10, SORT1, STX6, DYNC2H1, ATPAF1, GPD2, RAB14, ACADM, MBP, DGKH, MGAT4A, TCHP, PPP6C, LYST, ITGA10, KDM1A, TCOF1, DNMBP, COL11A2, ENO3, ADIPOR2, CSNK2A1, CCL28, CEBPZ, FMNL3, VPS13B, ARL14, ANTXR2, BET1L, PCMTD1, LRCH3, USP31, SLCO3A1, P3H1, RGL2, FBXW4, TBX5, PI4KA, PLEKHS1, TMEM114, STEAP2, PHF6, FAM86B2, PLCXD3, TMCC3, RNF145, RARG, BANK1, C9, HOXD3, MMS19, ZZEF1, SAA1, CIC, ORMDL1, ZNF623, TCIRG1, INSR, ZNF157, SLC4A1AP, KCNAB2, MKNK1, APOBEC2, PHAF1, ESR1, CD247, UBALD2, ST6GALNAC1, NXPE3, DEAF1, IDH2, FBXO38, ZDHHC14, DDHD1, ANGPTL1, CTNND1, SBNO1, RHOU, RIGI, MAP3K2, PLXNA3, FGD3, RMDN3, ZIC4, SAP30L, NAP1L4, HES6, SLC25A28, ZNF507, PIWIL1, TCEAL1, ZNF394, DNAJC8, DNAJB14, NCOA1, LSP1, MAK16, XPO5, DLG3, FCGR1A, VSIR, CHIC1, RBBP5, CREBZF, CCN5, HMCES, RGN, RPLP2, LGI4, NCOA3, ADAMTS18, LPAR6, FRAT1, REXO4, MARVELD1, DNAJA2, DDX55, SMOC2, FBXO46, DDX5, TMEM35A, YTHDC1, DDX6, LPIN2, MRPL38, SEC11A, ABI3, CLK3, REL, ASB4, FAM241A, HS3ST4, MRM1, MTERF1, MYBPC3, PTTG1, AREL1, TRRAP, DHX58, APC, PIGP, MBTPS1, CNTRL, MAPKAPK5, HLTF, TRIR, BICRA, PARP9, TPRA1, SETD1A, RBM48, HSPD1, CSE1L, NRP2, PSME2, WDR37, ZNF322, GUCD1, F8A1, ZMYND8, SPACA4, DENND3, MOB3A, SPO11, FAM13B, ZBED4, NUAK1, ABHD1, MYBPHL, SFT2D2, GIT2, C1orf52, ANKRD54	MSigDb_Dif_Expression
GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_UP	CD4+ T cells	MSigDb_Dif_Expression	MGST1, IL10RB, MYADM, STRADA, GM2A, ATG16L2, CNR2, RELB, EFCAB2, KCNG1, G6PC3, CAMK2D, SERINC3, TTC30A, DTNBP1, ANXA1, ADAM9, PMF1, TMEM131L, TLR7, SEMA4B, RDM1, UNC119, CUTC, DHDDS, PPM1E, ASAH1, PARVG, LRRK2, RFX5, PDE7A, RNF130, ATP2A3, LANCL2, PLCB3, ELL2, HPSE, KDM2B, TMEM263, CHCHD4, PACRGL, TUT4, ATP6AP1, PRKCB, KCTD14, COASY, SERPINI1, MYO18A, NUBP1, USP11, TFEB, CYBA, SNRNP35, TMEM168, IQCB1, N4BP3, LAMP2, KDM2A, APOBEC3B, ARHGAP21, VCL, EHD1, PRKCD, MAPRE2, TRIM35, GBP4, SLC66A2, CAPG, NUDCD1, HMOX2, RNF181, SZRD1, IDH3G, IKZF3, ZDHHC24, SH2B3, PLEKHG3, PLXND1, MAP4K1, NCKIPSD, PLBD1, MAGOHB, ARHGAP26, IVD, MACIR, PGLS, ZNF600, CERK, SFXN5, RECQL5, DENND4A, BID, RPN1, TCEANC, ASNSD1, FUT11, MID1IP1, PLP2, ACOX3, HDAC9, NOXRED1, IL5RA, SBK1, NUAK2, GNG2, UBLCP1, DNAJC9, BMF, C19orf38, ARHGAP11A, IRGQ, RASGRP3, UMAD1, TSGA10, RASGEF1B, ATP13A2, SLC25A53, HES5, FKBP2, FCGRT, ATP6V0D1, CALR, PRCP, SLC46A3, BIN3, CTSA, PLEK, ZBTB12, GRN, BLOC1S5, BORCS7, IFT22, ROGDI, ERP29, MYO1E, EHD4, IFT172, CD81, RGS18, SLC16A7, ADGRA2, ABI3, SLC16A6, TLNRD1, GCOM1, NMRAL1, TRIM7, COMMD4, TNFAIP8, REL, IRAK3, GPD1L, ZNF821, CSK, UBL3, CENPS, GRB2, POU2F2, CLIC4, TDRD7, MTPN, CD40, RNH1, NAP1L1, TRAPPC5, B3GNT8, MARCKS, BCAR3, NFKBIE, C6orf89, HLA-G, PTGR2, ACTR3B, ICAM1, TACSTD2, CNRIP1, ABHD17A, CHD9, CYBB, HVCN1, LIMD1, BFSP2, LTA, FES, ABCB10, GCNT1, TLR2, NAT1, NFKB2, GPAT3, SPNS3, KLHL14, PHYKPL, RAB30, MAPKAPK2, ARHGAP17, ALDH2, APOE, PIKFYVE, CEP89	MSigDb_Dif_Expression
GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_DN	CD4+ T cells	MSigDb_Dif_Expression	LRRC75B, LFNG, KCNC3, RAB37, HDAC4, EXTL2, IFIT1, EML5, GALNT7, LPCAT4, NCKAP5L, ITGB7, TMIE, MYRFL, SPATA13, PRKAG1, SMC4, TBC1D2B, PPP2R5A, TNIK, DGKZ, P2RX7, BTBD6, PDCD6IP, QSOX1, SLC2A9, PIK3R5, LBP, PPM1J, ENO1, LDLRAP1, GPR15, MBP, XRN2, PPT2, SYT12, CRIM1, KIF2A, FRMD8, RNF125, ADGRG5, NT5E, RRP1B, XDH, FRMD4A, PLD3, THADA, IL6ST, CLN6, SFMBT2, SLCO3A1, KCNMB4, BICDL1, SLC11A2, CLIP1, AFP, PRKACB, RAP2B, SRPK1, CD7, RORA, HCST, RARG, IGFLR1, PIP5KL1, SCP2, ANGPTL4, SRSF12, ZNF623, PREX1, HDHD5, LPIN1, C19orf12, JAK1, GSR, FGF13, ATP8B4, PIWIL4, EPHB6, TMLHE, SLC5A3, RCN1, SPICE1, GPR146, FOCAD, STK38, SEPTIN9, EVA1B, SMPD5, SYTL2, HSD11B1, PDHA1, TGFA, MYL6, MBNL1, ZDHHC15, FAM234A, PXYLP1, RINL, BAIAP3, IRF6, RGS3, SKAP1, CACNA2D4, SLA2, PSME1, TUBB, IL18RAP, PCED1B, NBEAL2, B3GALT4, STXBP5, TIMELESS, VPS26B, ABHD8, SLC9A9, METTL27, TMEM120B, SNHG7, CCDC102A, STAT4, LIME1, AMPD1, ARL4D, LGALS3BP, ERAP1, CYTH3, SSBP2, PTGER2, ARL15, ORAI2, SMURF1, SETD4, POLR1B, PADI2, ZAP70, DNAJC15, CCS, TBXA2R, GARIN3, FLVCR2, CCND3, ARHGAP1, EOMES, DDX60, SNHG17, SERPINB9, TTLL12, FAM241A, ITGB2, RNASEL, ESYT2, GOSR1, BACE1, ACCS, ZC3HAV1L, ETFBKMT, CNN2, SMPDL3A, BDH1, SIT1, SBSN, PELI1, ITPKB, METTL9, DNAJC1, ADGRG3, ACSBG1, IFITM10, TESC, MFSD6, CCR9, ADGRL1, PSME2, MACROD1, GRAMD4, ISOC1, CEP97, CDKN1A, RUNDC3B, KBTBD11, EID2, DENND4C, GALNT10, LASP1, RAB8B, RRP9, DGKA, SLC20A1, DLG4, SLC35G1, EVL, DCUN1D3, IL6R, FNTB, ATP8B2, ACAA2, CLN3, CRTAM, CAMKK1	MSigDb_Dif_Expression
